USSA > Wed Jul  9 11:39:45 | NOTICE  | skipped client=[2e:55:b9:42:06:8a] assoc on vap=[rai4]
USSA > Wed Jul  9 11:39:46 | NOTICE  | reported client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 11:39:46 | NOTICE  | skipped client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 11:39:57 | NOTICE  | reported client=[2e:55:b9:42:06:8a] assoc on vap=[rai4]
USSA > Wed Jul  9 11:40:07 | NOTICE  | reason=[1], oldCh->newCh=[40]->[165], oldBw->newBw=[80MHz]->[20MHz], oldTxPower->newTxPower=[18.000000]->[18.000000]
USSA > Wed Jul  9 11:40:28 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 11:40:28 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 11:40:29 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai0]
USSA > Wed Jul  9 11:40:57 | NOTICE  | reason=[1], oldCh->newCh=[165]->[40], oldBw->newBw=[20MHz]->[80MHz], oldTxPower->newTxPower=[18.000000]->[18.000000]
USSA > Wed Jul  9 11:41:05 | NOTICE  | reported client=[2e:55:b9:42:06:8a] assoc on vap=[rai4]
USSA > Wed Jul  9 11:41:08 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Wed Jul  9 11:43:08 | NOTICE  | reason=[1], oldCh->newCh=[40]->[36], oldBw->newBw=[80MHz]->[80MHz], oldTxPower->newTxPower=[18.000000]->[18.000000]
USSA > Wed Jul  9 11:43:38 | NOTICE  | reason=[1], oldCh->newCh=[36]->[40], oldBw->newBw=[80MHz]->[80MHz], oldTxPower->newTxPower=[18.000000]->[18.000000]
USSA > Wed Jul  9 11:43:45 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Wed Jul  9 11:43:48 | NOTICE  | reason=[1], oldCh->newCh=[40]->[157], oldBw->newBw=[80MHz]->[80MHz], oldTxPower->newTxPower=[18.000000]->[18.000000]
USSA > Wed Jul  9 11:49:37 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 11:52:41 | NOTICE  | reported client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 11:52:41 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[1]
